first,second,part,location,random
296.8730323,36.82989102,cowboy,thetown,0.999941225
286.9254454,28.41216917,moose,green,0.999923297
75.734475,45.25246497,bio,green,0.999851445
96.9548521,5.620372155,rundown,thetown,0.999790873
235.1777662,5.814795595,rundown,thetown,0.999759487
237.5302139,5.865300121,rundown,thetown,0.999654366
304.0411309,22.84811163,trees,thetown,0.999603436
297.8299602,32.85864037,cowboy,thetown,0.999584668
234.672721,42.58740702,cowboy,thetown,0.999575361
142.4288618,8.552672548,rundown,thetown,0.999564919
295.125914,8.230796811,rundown,thetown,0.999498011
333.6768725,11.8079917,moose,green,0.999279994
236.4430375,9.413907628,rundown,thetown,0.999210078
219.6028122,27.05207947,moose,green,0.99919249
152.629447,35.33867843,trees,thetown,0.99917126
89.80038056,6.697716658,moose,green,0.999126539
173.8736254,18.81914152,cowboy,thetown,0.999056227
144.3437122,42.82381941,bio,green,0.998965254
281.2432105,29.7964712,cowboy,thetown,0.998576834
272.6571527,40.4761287,bio,green,0.998557584
232.4398893,19.47759903,cowboy,thetown,0.998492385
218.4174018,44.13933576,bio,green,0.998488306
53.37069711,0.727296316,moose,green,0.998326948
123.194257,15.61961598,moose,green,0.998295675
316.1414733,9.827489065,moose,green,0.998192777
255.4221069,17.1219616,cowboy,thetown,0.998176653
278.2607853,27.61467566,cowboy,thetown,0.998165334
269.0423802,25.4424494,trees,thetown,0.998127923
119.283169,30.41847431,trees,thetown,0.998035609
229.1703857,26.75556709,cowboy,thetown,0.997971738
74.0141844,15.01245459,moose,green,0.997825833
110.4438678,7.878308251,moose,green,0.997761388
285.1347172,30.75339907,cowboy,thetown,0.997728526
298.1577966,18.12195122,cowboy,thetown,0.997696134
290.1636395,15.5690192,moose,green,0.997648566
61.87095658,13.89932538,moose,green,0.997597326
260.8175056,7.760249092,moose,green,0.997568848
230.3582425,43.63336793,bio,green,0.997557943
291.5080683,13.68730076,moose,green,0.997489589
247.447708,17.19373119,cowboy,thetown,0.997457972
171.2612005,39.97016087,bio,green,0.997439228
271.6309928,4.257538621,rundown,thetown,0.997424325
246.7938073,34.1185954,cowboy,thetown,0.997353945
280.1454766,3.734993946,moose,green,0.997317406
166.4916104,27.35630514,trees,thetown,0.997210015
282.5191143,31.47109497,cowboy,thetown,0.997159082
240.0439123,3.264363555,moose,green,0.997150566
95.20048435,11.27991697,rundown,thetown,0.997019966
225.9507006,26.41921813,moose,green,0.997009048
97.99705933,38.57368967,bio,green,0.997007279
179.4898806,44.02279882,cowboy,thetown,0.996990182
160.433489,0.895952257,moose,green,0.996846706
151.9332295,1.014011417,moose,green,0.996796897
220.8770109,27.73376002,cowboy,thetown,0.996763184
189.5627795,40.79994811,bio,green,0.996737622
102.1459955,2.177737416,moose,green,0.996718438
351.48694,4.623248573,moose,green,0.996703899
341.6094101,7.807635851,rundown,thetown,0.99662565
273.7472756,26.63860924,cowboy,thetown,0.996595774
288.4201695,42.84258779,cowboy,thetown,0.996580461
211.2279882,16.86199619,cowboy,thetown,0.996511664
174.021025,0.419115913,moose,green,0.996507231
233.5563051,50.94457706,cowboy,thetown,0.996478208
191.4999135,40.44577063,bio,green,0.996447127
279.6483307,33.49659229,cowboy,thetown,0.996406687
302.2158796,24.37615835,trees,thetown,0.996404794
228.994949,48.60967307,cowboy,thetown,0.996371724
135.4711988,47.69102231,mountain,thetown,0.996322826
227.5595572,35.1361287,cowboy,thetown,0.996292442
113.0312403,36.33228853,trees,thetown,0.996291029
188.1660266,29.05006746,cowboy,thetown,0.996202809
293.2048089,46.15993773,cowboy,thetown,0.996184374
69.86524823,45.7584328,bio,green,0.996134055
95.4672202,11.7911261,moose,green,0.995985276
283.1933135,6.308241732,rundown,thetown,0.995924054
116.4788387,4.844577063,rundown,thetown,0.995920227
271.2115304,7.991548669,moose,green,0.995909009
249.9644958,7.203684484,moose,green,0.995877587
273.8110707,27.42329009,cowboy,thetown,0.99579203
128.6132157,49.63677564,mountain,thetown,0.995661269
291.5080683,43.61891171,bio,green,0.995623064
81.50250822,0.980280228,moose,green,0.995601068
68.75737762,6.973741567,rundown,thetown,0.995581389
325.1563743,28.4442138,moose,green,0.995467361
313.6352188,9.641656461,rundown,thetown,0.995417721
179.5261279,29.65728169,cowboy,thetown,0.995409883
97.94186284,29.60885974,moose,green,0.995363887
287.4025008,3.857068723,moose,green,0.995353043
149.504584,12.92112091,moose,green,0.995341742
256.8415499,50.43421553,mountain,thetown,0.995276363
129.5701436,49.46133887,mountain,thetown,0.995248138
114.4916104,24.37285937,moose,green,0.995184092
221.8339388,28.83954333,cowboy,thetown,0.995183804
329.9327106,40.79994811,bio,green,0.995159742
170.9891714,27.01181111,trees,thetown,0.995146883
183.3175921,43.03397336,cowboy,thetown,0.995141753
319.1049991,12.92112091,moose,green,0.995097394
352.9036499,1.823559938,moose,green,0.995071578
292.3754417,45.02839351,bio,green,0.995036298
177.434008,1.739231967,moose,green,0.994782768
289.7588652,3.105345096,moose,green,0.994781656
194.5357205,44.58458744,bio,green,0.994759341
119.283169,31.08832382,trees,thetown,0.994720804
234.8829551,24.94658678,trees,thetown,0.994588201
192.0096869,28.68005535,cowboy,thetown,0.994574129
292.6306521,48.33216399,cowboy,thetown,0.99455577
83.93115378,2.295796575,moose,green,0.994531184
289.2176094,32.15689327,cowboy,thetown,0.994465746
85.06452171,16.10365854,moose,green,0.994431855
231.4713717,24.5752465,moose,green,0.994368676
120.4331183,19.32522796,moose,green,0.994351434
199.6651098,26.78214842,trees,thetown,0.994349714
114.295545,47.03422182,mountain,thetown,0.994296107
253.1733264,17.77745719,cowboy,thetown,0.994273703
134.2532681,7.239825043,moose,green,0.994235022
149.504584,13.5282823,moose,green,0.994210674
67.76855215,10.3229891,rundown,thetown,0.99415734
176.619097,35.21906245,cowboy,thetown,0.994014474
116.5154818,10.03710431,moose,green,0.994007057
38.79882373,2.329527763,moose,green,0.993891733
205.7921063,4.262445944,rundown,thetown,0.993871406
287.180513,41.02732462,cowboy,thetown,0.993851242
